,Code,Entity Name,Entity,Continent,WHO region,World Region according to the World Bank,world-regions-according-to-the-united-nations,OWID,WB,iso2Code3,name,region,adminregion,incomeLevel,lendingType,capitalCity,longitude,latitude,ISO,Country,WEO
121,KIR,Kiribati,Kiribati,Oceania,Western Pacific,East Asia and Pacific,Oceania,KIR,KIR,KI,Kiribati,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Tarawa,172.979,1.32905,KIR,Kiribati,KIR
122,KNA,St. Kitts and Nevis,Saint Kitts and Nevis,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,KNA,KNA,KN,St. Kitts and Nevis,Latin America & Caribbean ,,High income,IBRD,Basseterre,-62.7309,17.3,KNA,St. Kitts and Nevis,KNA
123,KOR,"Korea, Rep.",South Korea,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,KOR,KOR,KR,"Korea, Rep.",East Asia & Pacific,,High income,Not classified,Seoul,126.957,37.5323,KOR,Korea,KOR
124,KWT,Kuwait,Kuwait,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,KWT,KWT,KW,Kuwait,Middle East & North Africa,,High income,Not classified,Kuwait City,47.9824,29.3721,KWT,Kuwait,KWT
125,LAO,Lao PDR,Laos,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,LAO,LAO,LA,Lao PDR,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Vientiane,102.177,18.5826,LAO,Lao P.D.R.,LAO
126,LBN,Lebanon,Lebanon,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,LBN,LBN,LB,Lebanon,Middle East & North Africa,Middle East & North Africa (excluding high income),Upper middle income,IBRD,Beirut,35.5134,33.8872,LBN,Lebanon,LBN
127,LBR,Liberia,Liberia,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,LBR,LBR,LR,Liberia,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Monrovia,-10.7957,6.30039,LBR,Liberia,LBR
128,LBY,Libya,Libya,Africa,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,LBY,LBY,LY,Libya,Middle East & North Africa,Middle East & North Africa (excluding high income),Upper middle income,IBRD,Tripoli,13.1072,32.8578,LBY,Libya,LBY
129,LCA,St. Lucia,Saint Lucia,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,LCA,LCA,LC,St. Lucia,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,Blend,Castries,-60.9832,14.0,LCA,St. Lucia,LCA
130,LIE,Liechtenstein,Liechtenstein,Europe,,Europe and Central Asia,Europe and Northern America,LIE,LIE,LI,Liechtenstein,Europe & Central Asia,,High income,Not classified,Vaduz,9.52148,47.1411,,,
131,LKA,Sri Lanka,Sri Lanka,Asia,South-East Asia,South Asia,Central and Southern Asia,LKA,LKA,LK,Sri Lanka,South Asia,South Asia,Lower middle income,IBRD,Colombo,79.8528,6.92148,LKA,Sri Lanka,LKA
132,LSO,Lesotho,Lesotho,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,LSO,LSO,LS,Lesotho,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Maseru,27.7167,-29.5208,LSO,Lesotho,LSO
133,LTU,Lithuania,Lithuania,Europe,Europe,Europe and Central Asia,Europe and Northern America,LTU,LTU,LT,Lithuania,Europe & Central Asia,,High income,Not classified,Vilnius,25.2799,54.6896,LTU,Lithuania,LTU
134,LUX,Luxembourg,Luxembourg,Europe,Europe,Europe and Central Asia,Europe and Northern America,LUX,LUX,LU,Luxembourg,Europe & Central Asia,,High income,Not classified,Luxembourg,6.1296,49.61,LUX,Luxembourg,LUX
135,LVA,Latvia,Latvia,Europe,Europe,Europe and Central Asia,Europe and Northern America,LVA,LVA,LV,Latvia,Europe & Central Asia,,High income,Not classified,Riga,24.1048,56.9465,LVA,Latvia,LVA
136,MAC,"Macao SAR, China",Macao,Asia,,East Asia and Pacific,Eastern and South-Eastern Asia,MAC,MAC,MO,"Macao SAR, China",East Asia & Pacific,,High income,Not classified,,113.55,22.1667,MAC,Macao SAR,MAC
137,MAF,St. Martin (French part),Saint Martin (French part),North America,,Latin America and Caribbean,Latin America and Caribbean,MAF,MAF,MF,St. Martin (French part),Latin America & Caribbean ,,High income,Not classified,Marigot,,,,,
138,MAR,Morocco,Morocco,Africa,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,MAR,MAR,MA,Morocco,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,Rabat,-6.8704,33.9905,MAR,Morocco,MAR
139,MCO,Monaco,Monaco,Europe,Europe,Europe and Central Asia,Europe and Northern America,MCO,MCO,MC,Monaco,Europe & Central Asia,,High income,Not classified,Monaco,7.41891,43.7325,,,
140,MDA,Moldova,Moldova,Europe,Europe,Europe and Central Asia,Europe and Northern America,MDA,MDA,MD,Moldova,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Chisinau,28.8497,47.0167,MDA,Moldova,MDA
141,MDG,Madagascar,Madagascar,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,MDG,MDG,MG,Madagascar,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Antananarivo,45.7167,-20.4667,MDG,Madagascar,MDG
142,MDV,Maldives,Maldives,Asia,South-East Asia,South Asia,Central and Southern Asia,MDV,MDV,MV,Maldives,South Asia,South Asia,Upper middle income,IDA,Male,73.5109,4.1742,MDV,Maldives,MDV
143,MEX,Mexico,Mexico,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,MEX,MEX,MX,Mexico,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Mexico City,-99.1276,19.427,MEX,Mexico,MEX
144,MHL,Marshall Islands,Marshall Islands,Oceania,Western Pacific,East Asia and Pacific,Oceania,MHL,MHL,MH,Marshall Islands,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IDA,Majuro,171.135,7.11046,MHL,Marshall Islands,MHL
145,MKD,North Macedonia,North Macedonia,Europe,Europe,Europe and Central Asia,Europe and Northern America,MKD,MKD,MK,North Macedonia,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Skopje,21.4361,42.0024,MKD,North Macedonia,MKD
146,MLI,Mali,Mali,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,MLI,MLI,ML,Mali,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Bamako,-7.50034,13.5667,MLI,Mali,MLI
147,MLT,Malta,Malta,Europe,Europe,Middle East and North Africa,Europe and Northern America,MLT,MLT,MT,Malta,Middle East & North Africa,,High income,Not classified,Valletta,14.5189,35.9042,MLT,Malta,MLT
148,MMR,Myanmar,Myanmar,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia,MMR,MMR,MM,Myanmar,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Naypyidaw,95.9562,21.914,MMR,Myanmar,MMR
149,MNE,Montenegro,Montenegro,Europe,Europe,Europe and Central Asia,Europe and Northern America,MNE,MNE,ME,Montenegro,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Podgorica,19.2595,42.4602,MNE,Montenegro,MNE
150,MNG,Mongolia,Mongolia,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,MNG,MNG,MN,Mongolia,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IBRD,Ulaanbaatar,106.937,47.9129,MNG,Mongolia,MNG
151,MNP,Northern Mariana Islands,Northern Mariana Islands,Oceania,,East Asia and Pacific,Oceania,MNP,MNP,MP,Northern Mariana Islands,East Asia & Pacific,,High income,Not classified,Saipan,145.765,15.1935,,,
152,MOZ,Mozambique,Mozambique,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,MOZ,MOZ,MZ,Mozambique,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Maputo,32.5713,-25.9664,MOZ,Mozambique,MOZ
153,MRT,Mauritania,Mauritania,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,MRT,MRT,MR,Mauritania,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Nouakchott,-15.9824,18.2367,MRT,Mauritania,MRT
154,MSR,Montserrat,Montserrat,North America,,,Latin America and Caribbean,MSR,,,,,,,,,,,,,
155,MTQ,Martinique,Martinique,North America,,,Latin America and Caribbean,MTQ,,,,,,,,,,,,,
156,MUS,Mauritius,Mauritius,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,MUS,MUS,MU,Mauritius,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Port Louis,57.4977,-20.1605,MUS,Mauritius,MUS
157,MWI,Malawi,Malawi,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,MWI,MWI,MW,Malawi,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Lilongwe,33.7703,-13.9899,MWI,Malawi,MWI
158,MYS,Malaysia,Malaysia,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,MYS,MYS,MY,Malaysia,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IBRD,Kuala Lumpur,101.684,3.12433,MYS,Malaysia,MYS
159,MYT,Mayotte,Mayotte,Africa,,,Sub-Saharan Africa,MYT,,,,,,,,,,,,,
160,NAM,Namibia,Namibia,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,NAM,NAM,,Namibia,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Windhoek,17.0931,-22.5648,NAM,Namibia,NAM
161,NCL,New Caledonia,New Caledonia,Oceania,,East Asia and Pacific,Oceania,NCL,NCL,NC,New Caledonia,East Asia & Pacific,,High income,Not classified,Noum'ea,166.464,-22.2677,,,
162,NER,Niger,Niger,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,NER,NER,NE,Niger,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Niamey,2.1073,13.514,NER,Niger,NER
163,NFK,Norfolk Island,Norfolk Island,Oceania,,,Oceania,NFK,,,,,,,,,,,,,
164,NGA,Nigeria,Nigeria,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,NGA,NGA,NG,Nigeria,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Abuja,7.48906,9.05804,NGA,Nigeria,NGA
165,NIC,Nicaragua,Nicaragua,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,NIC,NIC,NI,Nicaragua,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IDA,Managua,-86.2734,12.1475,NIC,Nicaragua,NIC
166,NIU,Niue,Niue,Oceania,Western Pacific,,Oceania,NIU,,,,,,,,,,,,,
167,NLD,Netherlands,Netherlands,Europe,Europe,Europe and Central Asia,Europe and Northern America,NLD,NLD,NL,Netherlands,Europe & Central Asia,,High income,Not classified,Amsterdam,4.89095,52.3738,NLD,Netherlands,NLD
168,NOR,Norway,Norway,Europe,Europe,Europe and Central Asia,Europe and Northern America,NOR,NOR,NO,Norway,Europe & Central Asia,,High income,Not classified,Oslo,10.7387,59.9138,NOR,Norway,NOR
169,NPL,Nepal,Nepal,Asia,South-East Asia,South Asia,Central and Southern Asia,NPL,NPL,NP,Nepal,South Asia,South Asia,Lower middle income,IDA,Kathmandu,85.3157,27.6939,NPL,Nepal,NPL
170,NRU,Nauru,Nauru,Oceania,Western Pacific,East Asia and Pacific,Oceania,NRU,NRU,NR,Nauru,East Asia & Pacific,,High income,IBRD,Yaren District,166.920867,-0.5477,NRU,Nauru,NRU
171,NZL,New Zealand,New Zealand,Oceania,Western Pacific,East Asia and Pacific,Oceania,NZL,NZL,NZ,New Zealand,East Asia & Pacific,,High income,Not classified,Wellington,174.776,-41.2865,NZL,New Zealand,NZL
172,OMN,Oman,Oman,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,OMN,OMN,OM,Oman,Middle East & North Africa,,High income,Not classified,Muscat,58.5874,23.6105,OMN,Oman,OMN
173,OWID_ABK,Abkhazia,Abkhazia,Asia,,,,OWID_ABK,,,,,,,,,,,,,
174,OWID_AFR,Africa,Africa,,,,,OWID_AFR,AFR,A9,Africa,Aggregates,,Aggregates,Aggregates,,,,,,
175,OWID_AKD,Akrotiri and Dhekelia,Akrotiri and Dhekelia,Asia,,,,OWID_AKD,,,,,,,,,,,,,
176,OWID_AUH,Austria-Hungary,Austria-Hungary,Europe,,,,OWID_AUH,,,,,,,,,,,,,
177,OWID_BAD,Baden,Baden,Europe,,,,OWID_BAD,,,,,,,,,,,,,
178,OWID_BAV,Bavaria,Bavaria,Europe,,,,OWID_BAV,,,,,,,,,,,,,
179,OWID_CIS,Channel Islands,Channel Islands,Europe,,Europe and Central Asia,Europe and Northern America,OWID_CIS,CHI,JG,Channel Islands,Europe & Central Asia,,High income,Not classified,,,,,,
180,OWID_CYN,Northern Cyprus,Northern Cyprus,Asia,,,,OWID_CYN,,,,,,,,,,,,,
181,OWID_CZS,Czechoslovakia,Czechoslovakia,Europe,,,,OWID_CZS,,,,,,,,,,,,,
182,OWID_ERE,Eritrea and Ethiopia,Eritrea and Ethiopia,Africa,,,,OWID_ERE,,,,,,,,,,,,,
183,OWID_EU27,European Union (27),European Union (27),,,,,OWID_EU27,,,,,,,,,,,,,
184,OWID_EUR,Europe,Europe,,,,,OWID_EUR,,,,,,,,,,,,,
185,OWID_GDR,East Germany,East Germany,Europe,,,,OWID_GDR,,,,,,,,,,,,,
186,OWID_GFR,West Germany,West Germany,Europe,,,,OWID_GFR,,,,,,,,,,,,,
187,OWID_HAN,Hanover,Hanover,Europe,,,,OWID_HAN,,,,,,,,,,,,,
188,OWID_HSE,Hesse Electoral,Hesse Electoral,Europe,,,,OWID_HSE,,,,,,,,,,,,,
189,OWID_HSG,Hesse Grand Ducal,Hesse Grand Ducal,Europe,,,,OWID_HSG,,,,,,,,,,,,,
190,OWID_KOS,Kosovo,Kosovo,Europe,,Europe and Central Asia,Europe and Northern America,OWID_KOS,XKX,XK,Kosovo,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IDA,Pristina,20.926,42.565,,,
191,OWID_KRU,United Korea,United Korea,Asia,,,,OWID_KRU,,,,,,,,,,,,,
192,OWID_MEC,Mecklenburg Schwerin,Mecklenburg Schwerin,Europe,,,,OWID_MEC,,,,,,,,,,,,,
193,OWID_MOD,Modena,Modena,Europe,,,,OWID_MOD,,,,,,,,,,,,,
194,OWID_NAG,Nagorno-Karabakh,Nagorno-Karabakh,Asia,,,,OWID_NAG,,,,,,,,,,,,,
195,OWID_PMA,Parma,Parma,Europe,,,,OWID_PMA,,,,,,,,,,,,,
196,OWID_RVN,Republic of Vietnam,Republic of Vietnam,Asia,,,,OWID_RVN,,,,,,,,,,,,,
197,OWID_SAX,Saxony,Saxony,Europe,,,,OWID_SAX,,,,,,,,,,,,,
198,OWID_SEK,Serbia excluding Kosovo,Serbia excluding Kosovo,Europe,,,,OWID_SEK,,,,,,,,,,,,,
199,OWID_SIC,Two Sicilies,Two Sicilies,Europe,,,,OWID_SIC,,,,,,,,,,,,,
200,OWID_SML,Somaliland,Somaliland,Africa,,,,OWID_SML,,,,,,,,,,,,,
201,OWID_SOS,South Ossetia,South Ossetia,Asia,,,,OWID_SOS,,,,,,,,,,,,,
202,OWID_SRM,Serbia and Montenegro,Serbia and Montenegro,Europe,,,,OWID_SRM,,,,,,,,,,,,,
203,OWID_TRS,Transnistria,Transnistria,Europe,,,,OWID_TRS,,,,,,,,,,,,,
204,OWID_TUS,Tuscany,Tuscany,Europe,,,,OWID_TUS,,,,,,,,,,,,,
205,OWID_USS,USSR,USSR,Europe,,,,OWID_USS,,,,,,,,,,,,,
206,OWID_WRL,World,World,,,,,OWID_WRL,WLD,1W,World,Aggregates,,Aggregates,Aggregates,,,,,,
207,OWID_WRT,Wuerttemburg,Wuerttemburg,Europe,,,,OWID_WRT,,,,,,,,,,,,,
208,OWID_YAR,Yemen Arab Republic,Yemen Arab Republic,Asia,,,,OWID_YAR,,,,,,,,,,,,,
209,OWID_YGS,Yugoslavia,Yugoslavia,Europe,,,,OWID_YGS,,,,,,,,,,,,,
210,OWID_YPR,Yemen People's Republic,Yemen People's Republic,Asia,,,,OWID_YPR,,,,,,,,,,,,,
211,OWID_ZAN,Zanzibar,Zanzibar,Africa,,,,OWID_ZAN,,,,,,,,,,,,,
212,PAK,Pakistan,Pakistan,Asia,Eastern Mediterranean,South Asia,Central and Southern Asia,PAK,PAK,PK,Pakistan,South Asia,South Asia,Lower middle income,Blend,Islamabad,72.8,30.5167,PAK,Pakistan,PAK
213,PAN,Panama,Panama,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,PAN,PAN,PA,Panama,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Panama City,-79.5188,8.99427,PAN,Panama,PAN
214,PCN,Pitcairn,Pitcairn,Oceania,,,Oceania,PCN,,,,,,,,,,,,,
215,PER,Peru,Peru,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,PER,PER,PE,Peru,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Lima,-77.0465,-12.0931,PER,Peru,PER
216,PHL,Philippines,Philippines,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,PHL,PHL,PH,Philippines,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IBRD,Manila,121.035,14.5515,PHL,Philippines,PHL
217,PLW,Palau,Palau,Oceania,Western Pacific,East Asia and Pacific,Oceania,PLW,PLW,PW,Palau,East Asia & Pacific,,High income,IBRD,Koror,134.479,7.34194,PLW,Palau,PLW
218,PNG,Papua New Guinea,Papua New Guinea,Oceania,Western Pacific,East Asia and Pacific,Oceania,PNG,PNG,PG,Papua New Guinea,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,Blend,Port Moresby,147.194,-9.47357,PNG,Papua New Guinea,PNG
219,POL,Poland,Poland,Europe,Europe,Europe and Central Asia,Europe and Northern America,POL,POL,PL,Poland,Europe & Central Asia,,High income,IBRD,Warsaw,21.02,52.26,POL,Poland,POL
220,PRI,Puerto Rico,Puerto Rico,North America,,Latin America and Caribbean,Latin America and Caribbean,PRI,PRI,PR,Puerto Rico,Latin America & Caribbean ,,High income,Not classified,San Juan,-66.0,18.23,PRI,Puerto Rico,PRI
221,PRK,"Korea, Dem. People's Rep.",North Korea,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia,PRK,PRK,KP,"Korea, Dem. People's Rep.",East Asia & Pacific,East Asia & Pacific (excluding high income),Low income,Not classified,Pyongyang,125.754,39.0319,,,
222,PRT,Portugal,Portugal,Europe,Europe,Europe and Central Asia,Europe and Northern America,PRT,PRT,PT,Portugal,Europe & Central Asia,,High income,Not classified,Lisbon,-9.13552,38.7072,PRT,Portugal,PRT
223,PRY,Paraguay,Paraguay,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,PRY,PRY,PY,Paraguay,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Asuncion,-57.6362,-25.3005,PRY,Paraguay,PRY
224,PSE,West Bank and Gaza,Palestine,Asia,,Middle East and North Africa,Northern Africa and Western Asia,PSE,PSE,PS,West Bank and Gaza,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,Not classified,,,,,,
225,PYF,French Polynesia,French Polynesia,Oceania,,East Asia and Pacific,Oceania,PYF,PYF,PF,French Polynesia,East Asia & Pacific,,High income,Not classified,Papeete,-149.57,-17.535,,,
226,QAT,Qatar,Qatar,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,QAT,QAT,QA,Qatar,Middle East & North Africa,,High income,Not classified,Doha,51.5082,25.2948,QAT,Qatar,QAT
227,REU,Reunion,Reunion,Africa,,,Sub-Saharan Africa,REU,,,,,,,,,,,,,
228,ROU,Romania,Romania,Europe,Europe,Europe and Central Asia,Europe and Northern America,ROU,ROU,RO,Romania,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Bucharest,26.0979,44.4479,ROU,Romania,ROU
229,RUS,Russian Federation,Russia,Europe,Europe,Europe and Central Asia,Europe and Northern America,RUS,RUS,RU,Russian Federation,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Moscow,37.6176,55.7558,RUS,Russia,RUS
230,RWA,Rwanda,Rwanda,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,RWA,RWA,RW,Rwanda,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Kigali,30.0587,-1.95325,RWA,Rwanda,RWA
231,SAU,Saudi Arabia,Saudi Arabia,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,SAU,SAU,SA,Saudi Arabia,Middle East & North Africa,,High income,Not classified,Riyadh,46.6977,24.6748,SAU,Saudi Arabia,SAU
232,SDN,Sudan,Sudan,Africa,Eastern Mediterranean,Sub-Saharan Africa,Northern Africa and Western Asia,SDN,SDN,SD,Sudan,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Khartoum,32.5363,15.5932,SDN,Sudan,SDN
233,SEN,Senegal,Senegal,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SEN,SEN,SN,Senegal,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Dakar,-17.4734,14.7247,SEN,Senegal,SEN
234,SGP,Singapore,Singapore,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,SGP,SGP,SG,Singapore,East Asia & Pacific,,High income,Not classified,Singapore,103.85,1.28941,SGP,Singapore,SGP
235,SGS,South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands,South America,,,Latin America and Caribbean,SGS,,,,,,,,,,,,,
236,SHN,Saint Helena,Saint Helena,Africa,,,,SHN,,,,,,,,,,,,,
237,SJM,Svalbard and Jan Mayen,Svalbard and Jan Mayen,Europe,,,,SJM,,,,,,,,,,,,,
238,SLB,Solomon Islands,Solomon Islands,Oceania,Western Pacific,East Asia and Pacific,Oceania,SLB,SLB,SB,Solomon Islands,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Honiara,159.949,-9.42676,SLB,Solomon Islands,SLB
239,SLE,Sierra Leone,Sierra Leone,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SLE,SLE,SL,Sierra Leone,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Freetown,-13.2134,8.4821,SLE,Sierra Leone,SLE
240,SLV,El Salvador,El Salvador,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,SLV,SLV,SV,El Salvador,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IBRD,San Salvador,-89.2073,13.7034,SLV,El Salvador,SLV
241,SMR,San Marino,San Marino,Europe,Europe,Europe and Central Asia,Europe and Northern America,SMR,SMR,SM,San Marino,Europe & Central Asia,,High income,Not classified,San Marino,12.4486,43.9322,SMR,San Marino,SMR
242,SOM,Somalia,Somalia,Africa,Eastern Mediterranean,Sub-Saharan Africa,Sub-Saharan Africa,SOM,SOM,SO,Somalia,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Mogadishu,45.3254,2.07515,SOM,Somalia,SOM
243,SPM,Saint Pierre and Miquelon,Saint Pierre and Miquelon,North America,,,,SPM,,,,,,,,,,,,,
244,SRB,Serbia,Serbia,Europe,Europe,Europe and Central Asia,Europe and Northern America,SRB,SRB,RS,Serbia,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Belgrade,20.4656,44.8024,SRB,Serbia,SRB
245,SSD,South Sudan,South Sudan,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SSD,SSD,SS,South Sudan,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Juba,31.6,4.85,SSD,South Sudan,SSD
246,STP,Sao Tome and Principe,Sao Tome and Principe,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,STP,STP,ST,Sao Tome and Principe,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Sao Tome,6.6071,0.20618,STP,São Tomé and Príncipe,STP
247,SUR,Suriname,Suriname,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,SUR,SUR,SR,Suriname,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Paramaribo,-55.1679,5.8232,SUR,Suriname,SUR
248,SVK,Slovak Republic,Slovakia,Europe,Europe,Europe and Central Asia,Europe and Northern America,SVK,SVK,SK,Slovak Republic,Europe & Central Asia,,High income,Not classified,Bratislava,17.1073,48.1484,SVK,Slovak Republic,SVK
249,SVN,Slovenia,Slovenia,Europe,Europe,Europe and Central Asia,Europe and Northern America,SVN,SVN,SI,Slovenia,Europe & Central Asia,,High income,Not classified,Ljubljana,14.5044,46.0546,SVN,Slovenia,SVN
250,SWE,Sweden,Sweden,Europe,Europe,Europe and Central Asia,Europe and Northern America,SWE,SWE,SE,Sweden,Europe & Central Asia,,High income,Not classified,Stockholm,18.0645,59.3327,SWE,Sweden,SWE
251,SWZ,Eswatini,Eswatini,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SWZ,SWZ,SZ,Eswatini,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IBRD,Mbabane,31.4659,-26.5225,SWZ,Eswatini,SWZ
252,SXM,Sint Maarten (Dutch part),Sint Maarten (Dutch part),North America,,Latin America and Caribbean,Latin America and Caribbean,SXM,SXM,SX,Sint Maarten (Dutch part),Latin America & Caribbean ,,High income,Not classified,Philipsburg,,,,,
253,SYC,Seychelles,Seychelles,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SYC,SYC,SC,Seychelles,Sub-Saharan Africa ,,High income,IBRD,Victoria,55.4466,-4.6309,SYC,Seychelles,SYC
254,SYR,Syrian Arab Republic,Syria,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,SYR,SYR,SY,Syrian Arab Republic,Middle East & North Africa,Middle East & North Africa (excluding high income),Low income,IDA,Damascus,36.3119,33.5146,SYR,Syria,SYR
255,TCA,Turks and Caicos Islands,Turks and Caicos Islands,North America,,Latin America and Caribbean,Latin America and Caribbean,TCA,TCA,TC,Turks and Caicos Islands,Latin America & Caribbean ,,High income,Not classified,Grand Turk,-71.141389,21.4602778,,,
256,TCD,Chad,Chad,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,TCD,TCD,TD,Chad,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,N'Djamena,15.0445,12.1048,TCD,Chad,TCD
257,TGO,Togo,Togo,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,TGO,TGO,TG,Togo,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Lome,1.2255,6.1228,TGO,Togo,TGO
258,THA,Thailand,Thailand,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia,THA,THA,TH,Thailand,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IBRD,Bangkok,100.521,13.7308,THA,Thailand,THA
