iso_code,country,group_OWID_Continent,group_UN_Region,group_WHO_Region,group_WB_region,group_WB_adminregion,group_WB_incomeLevel,group_WB_lendingType,group_WB_longitude,group_WB_latitude,group_OWID_Continent_exclude_US,group_UN_Region_exclude_US,group_WHO_Region_exclude_US,group_WB_region_exclude_US,group_WB_adminregion_exclude_US,group_WB_incomeLevel_exclude_US,group_WB_lendingType_exclude_US,group_is_USA,year,area,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_cons_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,gdp,gdp_per_captia,gdp_ppp,gdp_ppp_per_capita,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,population,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
MEX,Mexico,North America,Latin America and Caribbean,Americas,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,-99.1276,19.427,North America,Latin America and Caribbean,Americas,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Other Entities,2019,1943950.0,0.688,0.015,17.155,2.189,61.767,7.88,2.391,0.104,427.392,-4.526,-7.131,1179.027,150.415,245.345,31.3,-17.569,-13.644,501.794,64.017,9.497,7.169,330.4,329.58,-3.687,-80.327,16446.121,,-3.887,-78.017,1916.12,244.45,15121.436,1929.125,74.17,91.945,0.442,3.875,879.733,1409.518,179.82,6895.787,-11.071,-38.961,2453.048,312.949,54.56,41.93,1269433932805.91,9950.45008048459,2534036206427.55,19863.0272301481,140.86,-27.595,-22.28,58.459,186.948,23.85,458.228,7.236,2.786,-1.348,-2.31,168.999,667.291,85.13,1324.698,25.83,8.055,0.82,0.248,17.921,4.304,28.323,85.283,10.88,222.008,3.301,1.35,-7.678,-74.761,898.976,261.257,33.33,7046.622,-7.207,-85.739,8652.922,1103.901,10.113,42.847,20.369,26.46,18.58,-14.931,-3.575,207.407,145.639,159.664,8.028,5.637,0.971,2583.411,127575529.0,2098.123,-4.491,-6.614,140.676,582.008,74.25,1102.69,22.529,6.705,130.793,10.337,18.241,55.34,7.06,142.98,2.142,0.869,27.324,8.889,41.419,132.314,16.88,324.662,5.122,1.974
MNG,Mongolia,Asia,Eastern and South-Eastern Asia,Western Pacific,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IBRD,106.937,47.9129,Asia,Eastern and South-Eastern Asia,Western Pacific,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IBRD,Other Entities,2019,1557255.0,,,,,0.0,0.0,0.0,,739.663,,,,,1823.162,5.88,4.685,13.528,93733.35,302.306,90.046,,8.23,6.53,10.406,7.398,24337.973,,,,1823.162,5.88,,,90.046,,,,,0.0,0.0,,,,,,0.0,,14206359006.8095,4404.84583020208,41972674454.4322,13014.1129028497,4.83,,,,27.906,0.09,,1.378,,,,,201.54,0.65,,9.954,,1.7,20.656,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,2024.702,3225166.0,78.494,,,,201.54,0.65,,9.954,,,,,24.805,0.08,,1.225,,,,,148.83,0.48,,7.351,
MYS,Malaysia,Asia,Eastern and South-Eastern Asia,Western Pacific,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IBRD,101.684,3.12433,Asia,Eastern and South-Eastern Asia,Western Pacific,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IBRD,Other Entities,2019,328550.0,,,,,55.712,1.78,1.093,,551.557,2.429,6.289,8301.551,265.233,2195.32,70.14,0.0,,,,43.076,21.55,162.18,162.83,2.391,28.735,38521.961,,2.536,28.569,4174.675,133.38,36156.104,1155.18,81.914,93.858,0.045,0.202,446.98,1948.683,62.26,13990.089,2.637,20.367,24809.156,792.647,38.236,36.317,365276282438.141,11432.8229973018,946461544283.269,29623.4051587405,89.81,-2.481,-1.623,63.805,836.625,26.73,1997.031,16.416,5.184,-0.056,-0.039,70.317,921.759,29.45,2200.856,18.086,5.713,-0.65,-0.401,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.245,22.077,442.966,30.673,0.98,13864.464,-7.57,-28.779,10998.084,351.386,0.602,35.991,4.721,1.78,0.0,40.591,1.363,55.712,0.0,147.754,1.093,0.0,0.384,5096.434,31949789.0,1230.769,-0.056,-0.039,70.317,921.759,29.45,2200.856,18.086,5.713,14.052,0.221,1.791,29.421,0.94,56.072,0.577,0.146,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLD,Netherlands,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,4.89095,52.3738,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,Other Entities,2019,33670.0,31.268,2.06,505.925,8.65,339.823,5.81,4.81,0.887,454.553,-22.312,-21.444,4367.21,74.667,1035.847,17.71,,,,,14.661,7.652,121.66,120.8,-0.454,-4.447,57069.043,,-1.827,-16.766,5503.85,94.1,52704.523,901.096,77.897,92.352,4.444,15.75,370.194,4138.708,70.76,21652.457,-13.861,-44.806,16286.04,278.444,58.576,37.941,910194347568.626,52476.2732533327,1023422581997.29,59004.3249664016,54.91,2.157,0.004,0.184,4.094,0.07,10.744,0.058,0.019,19.773,12.319,74.622,1561.666,26.7,4364.566,22.103,7.648,0.86,0.707,10.828,0.946,9.681,228.693,3.91,566.258,3.237,0.992,-2.369,-11.072,456.234,329.295,5.63,26684.856,0.0,,,,4.661,46.759,14.397,5.81,0.0,26.721,3.036,339.823,0.0,842.083,4.81,0.0,1.476,7065.516,17344874.0,975.717,21.232,11.373,64.94,1332.973,22.79,3798.308,18.866,6.656,43.323,3.994,13.213,315.843,5.4,772.834,4.47,1.354,8.693,2.279,28.496,673.213,11.51,1666.721,9.528,2.921
NOR,Norway,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,10.7387,59.9138,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,Other Entities,2019,365107.85,,,,,46.478,0.25,0.186,,34.532,-2.325,-0.216,1687.077,9.075,7.437,0.04,0.0,,,,0.03,1.837,134.12,134.08,-6.497,-34.316,91823.227,,-2.545,-4.275,513.12,2.76,30432.63,163.693,2.058,33.143,3.072,1.361,45.652,382.981,2.06,8487.393,-5.794,-70.271,212423.837,1142.598,1.536,9.243,404941363636.364,75719.7528965342,357234985787.728,66799.1647159421,4.63,-10.293,-35.558,309.889,23335.804,125.52,57612.374,93.616,62.743,-8.793,-31.28,324.461,24414.1,131.32,60321.51,97.942,65.693,0.04,0.03,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.738,-5.42,108.966,122.703,0.66,20258.161,-5.729,-55.511,169828.175,913.482,0.492,22.062,0.626,0.25,0.0,23.463,0.119,46.478,0.0,116.474,0.186,0.0,0.127,24927.22,5347896.0,493.904,-8.793,-31.28,324.461,24414.1,131.32,60321.51,97.942,65.693,74.792,0.113,0.264,1.859,0.01,49.167,0.007,0.054,41.982,4.045,13.681,1029.958,5.54,2543.496,4.132,2.77
OWID_EUR,Europe,,,,,,,,,,,,,,,,,Other Entities,2019,,3.972,7.953,278.209,208.207,265.613,198.78,4.182,0.898,291.661,-13.708,-491.312,4132.723,3092.851,961.716,719.73,-10.998,-222.405,2404.916,1799.794,15.143,13.341,4747.58,4753.02,-1.508,-354.975,30977.259,,-2.73,-478.208,2811.521,2104.09,22765.08,17036.962,44.268,73.49,0.939,51.495,5534.741,1665.782,1246.64,7395.621,-6.45,-162.165,3142.855,2352.054,26.228,23.874,,,,,1386.27,-3.255,-52.312,1554.902,970.334,726.18,2077.686,15.278,6.707,2.046,123.233,6145.861,3539.545,2648.93,8212.204,55.732,26.51,-5.44,-0.115,-1.015,-23.619,2302.843,1503.819,1125.43,3077.098,23.678,9.933,-0.454,-38.391,8409.357,184.024,137.72,11236.736,-3.13,-59.46,2458.833,1840.145,2.898,36.274,562.524,212.47,13.69,3.748,20.32,283.906,18.293,751.654,4.47,0.288,2.426,6351.066,748381407.0,23182.805,3.973,146.852,3843.018,2035.727,1523.5,5135.106,32.053,16.577,9.847,33.906,378.252,191.56,143.36,505.426,3.016,1.632,13.669,136.985,1139.134,589.926,441.49,1522.131,9.289,4.914
PAK,Pakistan,Asia,Central and Southern Asia,Eastern Mediterranean,South Asia,South Asia,Lower middle income,Blend,72.8,30.5167,Asia,Central and Southern Asia,Eastern Mediterranean,South Asia,South Asia,Lower middle income,Blend,Other Entities,2019,770880.0,,,,,5.403,1.17,0.972,,358.223,12.602,17.355,716.064,155.075,63.537,13.76,53.955,12.404,163.427,35.393,11.429,15.883,120.89,120.4,1.035,9.999,4508.308,,-0.734,-6.286,325.214,70.43,3926.594,850.364,58.497,87.097,2.006,8.742,444.618,201.048,43.54,2053.045,-4.427,-15.139,1509.301,326.862,36.163,45.539,279056608888.638,1288.55632450434,1060388933616.92,4896.39314506171,43.13,22.694,16.628,89.896,162.907,35.28,415.099,29.302,9.207,14.846,16.286,125.98,230.739,49.97,581.718,41.503,12.903,0.49,0.405,-1.078,-0.248,22.738,41.881,9.07,104.994,7.533,2.329,-11.441,-32.383,250.671,60.628,13.13,1157.484,0.0,,,,10.905,25.674,1.53,1.17,0.0,-40.238,-1.03,5.403,0.0,7.067,0.972,0.0,0.157,555.952,216565317.0,976.343,19.068,16.533,103.242,188.858,40.9,476.724,33.97,10.574,4.649,0.179,4.02,5.356,1.16,18.56,0.963,0.412,10.765,0.758,7.796,15.192,3.29,35.997,2.733,0.798
PER,Peru,South America,Latin America and Caribbean,Americas,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,-77.0465,-12.0931,South America,Latin America and Caribbean,Americas,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Other Entities,2019,1280000.0,,,,,15.072,0.49,0.883,,238.327,-32.551,-4.236,270.001,8.778,11.073,0.36,0.0,,,,0.649,2.665,55.53,55.47,0.994,3.243,10131.892,,0.489,1.166,654.866,21.29,7374.624,239.752,38.381,72.786,2.318,1.86,82.113,387.568,12.6,2525.733,5.341,6.843,4151.215,134.958,22.715,24.929,228470919605.669,7027.61220697723,435551564551.279,13397.2739160483,13.22,1.981,1.514,77.907,961.537,31.26,2396.36,56.355,23.652,2.633,2.186,85.207,1051.354,34.18,2620.899,61.619,25.868,0.06,0.108,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.437,3.542,148.862,256.225,8.33,4578.89,4.225,2.878,2184.056,71.005,15.017,45.193,1.312,0.49,0.0,26.052,0.271,15.072,0.0,40.367,0.883,0.0,0.398,1706.22,32510462.0,329.393,2.633,2.186,85.207,1051.354,34.18,2620.899,61.619,25.868,1.984,0.037,1.889,23.992,0.78,58.115,1.406,0.574,9.748,0.364,4.098,50.753,1.65,126.056,2.975,1.244
PHL,Philippines,Asia,Eastern and South-Eastern Asia,Western Pacific,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IBRD,121.035,14.5515,Asia,Eastern and South-Eastern Asia,Western Pacific,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IBRD,Other Entities,2019,298170.0,,,,,15.909,1.72,1.704,,576.752,6.925,13.17,1880.739,203.339,415.2,44.89,,,,,44.485,36.328,100.91,100.91,3.058,16.607,5177.145,,4.093,19.621,723.94,78.27,4615.764,499.041,77.564,89.156,3.111,1.272,42.16,134.392,14.53,389.949,,,,,14.399,7.532,376823278560.849,3485.3408438977,1004590126617.83,9291.72691519935,58.2,-14.79,-3.449,19.873,73.439,7.94,183.81,7.868,3.55,-5.843,-3.387,54.587,209.404,22.64,504.887,22.436,9.752,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.086,5.18,253.542,174.349,18.85,2345.076,,,,,18.68,45.297,29.049,12.41,10.69,1.28,0.367,114.783,98.875,268.681,12.298,10.594,5.19,933.344,108116622.0,559.735,-5.843,-3.387,54.587,209.404,22.64,504.887,22.436,9.752,-0.611,-0.019,3.086,11.562,1.25,28.539,1.239,0.551,-9.984,-0.286,2.579,9.619,1.04,23.857,1.031,0.461
POL,Poland,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,IBRD,21.02,52.26,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,IBRD,Other Entities,2019,306170.0,8.005,0.847,301.807,11.435,202.704,7.68,4.711,0.972,670.94,-10.894,-63.097,13621.25,516.078,3118.157,118.14,-5.628,-30.941,13693.632,518.821,72.461,43.869,173.66,163.04,-2.984,-36.182,31049.816,,-4.035,-46.334,3631.251,137.58,29084.417,1101.944,84.384,93.67,4.831,9.627,208.888,390.627,14.8,5513.335,0.098,0.039,1051.842,39.852,9.078,17.756,597280564671.563,15732.2031311754,1283148291764.73,33797.7673600747,109.39,-1.178,-0.058,4.839,51.732,1.96,127.707,1.202,0.411,15.785,10.152,74.466,671.985,25.46,1965.423,15.616,6.33,10.62,6.115,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,7.136,376.977,122.467,4.64,9949.833,0.0,,,,2.846,32.045,19.025,7.68,0.0,16.901,2.75,202.704,0.0,502.134,4.711,0.0,1.617,4303.236,37965475.0,1176.408,15.785,10.152,74.466,671.985,25.46,1965.423,15.616,6.33,136.018,1.014,1.76,18.74,0.71,46.447,0.435,0.15,17.596,5.597,37.408,398.809,15.11,987.328,9.268,3.18
PRT,Portugal,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,-9.13552,38.7072,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,Other Entities,2019,91605.6,-0.046,-0.002,320.794,3.28,328.569,3.36,6.495,1.145,294.993,-54.156,-17.15,1419.701,14.518,540.769,5.53,,,,,10.69,5.067,55.13,51.73,-4.896,-14.752,28018.71,,-4.241,-9.538,2378.21,24.32,21061.953,215.383,47.013,75.171,5.788,3.356,61.35,1687.825,17.26,5999.335,,,,,33.366,21.412,239986922638.902,23330.817288932,372075451394.494,36172.0725393171,15.26,-29.109,-8.966,21.835,862.492,8.82,2135.235,17.05,7.621,-6.828,-5.213,71.141,2680.376,27.41,6956.779,52.987,24.829,3.4,6.167,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.146,4.256,139.515,149.616,1.53,13642.917,,,,,2.958,48.692,8.857,3.58,0.22,5.251,0.442,350.082,21.513,866.153,6.921,0.425,3.091,5058.586,10286263.0,286.524,-6.828,-5.213,71.141,2680.376,27.41,6956.779,52.987,24.829,33.139,0.828,3.326,131.036,1.34,325.201,2.59,1.161,7.923,2.484,33.842,1336.765,13.67,3309.397,26.426,11.811
ROU,Romania,Europe,Europe and Northern America,Europe,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,26.0979,44.4479,Europe,Europe and Northern America,Europe,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Other Entities,2019,230080.0,,,,,25.82,0.5,0.845,,284.556,-3.087,-1.841,2983.856,57.781,702.83,13.61,-2.238,-1.046,2359.033,45.682,22.998,15.119,60.7,59.18,-2.348,-9.191,19736.216,,-1.918,-5.65,1201.68,23.27,14921.219,288.943,39.321,75.603,-7.111,-8.222,107.408,462.185,8.95,5546.63,-3.365,-3.351,4969.174,96.226,15.123,28.104,249881592298.072,12899.3461112897,617323853338.569,31867.3895653364,16.84,-12.118,-5.32,38.582,804.563,15.58,1992.391,26.326,10.095,-4.757,-4.442,88.936,1854.419,35.91,4592.722,60.679,23.271,1.52,2.504,-1.218,-0.344,27.932,582.507,11.28,1442.416,19.06,7.308,3.697,4.412,123.754,36.665,0.71,6390.732,-0.28,-0.116,2142.275,41.484,1.2,32.381,1.248,0.5,0.0,14.905,0.162,25.82,0.0,64.467,0.845,0.0,0.327,3056.099,19371648.0,382.183,-6.295,-4.098,61.004,1271.911,24.63,3150.306,41.619,15.962,0.025,0.001,4.403,91.921,1.78,227.36,3.008,1.152,6.739,1.059,16.771,349.608,6.77,866.089,11.44,4.388
SWE,Sweden,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,18.0645,59.3327,Europe,Europe and Northern America,Europe,Europe & Central Asia,,High income,Not classified,Other Entities,2019,407310.0,3.294,0.543,1697.085,17.033,1299.272,13.04,7.743,2.735,47.025,-0.779,-0.179,2277.013,22.853,20.924,0.21,,,,,0.125,3.67,142.26,168.42,3.813,22.873,62046.398,,5.633,10.527,333.785,3.35,19668.77,197.403,1.989,31.7,0.325,0.033,10.202,28.895,0.29,1016.477,,,,,0.172,1.638,533879529188.454,51939.4297445291,561214693598.111,54598.7803541484,7.92,4.7,7.249,161.467,6513.297,65.37,16088.131,38.814,25.929,2.99,12.346,425.319,16447.147,165.07,42377.677,98.011,68.3,-26.16,-18.389,-3.885,-6.618,163.752,6589.022,66.13,16315.858,39.265,26.296,6.946,10.674,164.349,283.967,2.85,16375.28,,,,,1.692,26.392,32.28,13.04,0.0,9.023,2.672,1299.272,0.0,3216.294,7.743,0.0,5.184,16780.933,10278887.0,622.722,7.817,18.965,261.567,9858.125,98.94,26061.82,58.746,42.004,68.94,0.67,1.642,67.753,0.68,163.578,0.404,0.264,18.955,7.831,49.146,1977.803,19.85,4896.731,11.786,7.892
THA,Thailand,Asia,Eastern and South-Eastern Asia,South-East Asia,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IBRD,100.521,13.7308,Asia,Eastern and South-Eastern Asia,South-East Asia,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IBRD,Other Entities,2019,510890.0,11.652,2.709,372.796,25.956,200.645,13.97,7.71,1.695,495.06,-10.876,-24.217,2850.289,198.453,492.635,34.3,-5.971,-2.608,589.895,41.072,18.93,12.958,203.85,181.19,-0.248,-3.812,21996.591,,-0.809,-11.716,2183.537,152.03,20638.183,1436.945,83.906,93.824,1.839,9.2,509.396,1675.39,116.65,7316.22,3.008,10.446,5137.866,357.727,64.38,33.261,544263840039.166,7817.00967118918,1339169089346.26,19233.8659169861,89.7,-17.248,-3.257,15.625,91.489,6.37,224.412,3.516,1.02,9.119,7.904,94.581,418.812,29.16,1358.425,16.094,6.176,22.66,11.116,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,3.301,729.096,15.512,1.08,10471.674,-0.322,-0.632,2806.87,195.43,0.596,47.606,36.137,13.97,0.0,23.783,6.943,200.645,0.0,519.02,7.71,0.0,2.36,2602.348,69625581.0,1531.525,9.119,7.904,94.581,418.812,29.16,1358.425,16.094,6.176,0.309,0.035,11.311,73.967,5.15,162.455,2.842,0.739,36.13,1.474,5.552,52.711,3.67,79.742,2.025,0.363
TUN,Tunisia,Africa,Northern Africa and Western Asia,Eastern Mediterranean,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,10.21,36.7899,Africa,Northern Africa and Western Asia,Eastern Mediterranean,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,Other Entities,2019,155360.0,,,,,0.0,0.0,0.0,,471.533,,,,,0.0,0.0,,,,,0.0,,20.39,20.55,0.178,0.217,10435.093,,,,1687.086,19.73,,,96.01,,,,,1687.086,19.73,,0.0,,,,96.01,,41804581484.3655,3574.65402418454,139166669857.16,11899.9563869168,9.69,,,,5.986,0.07,,0.341,,,,,70.117,0.82,,3.99,,-0.16,-0.785,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,-16.795,-4.636,1963.772,22.966,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,1757.203,11694721.0,122.036,,,,70.117,0.82,,3.99,,,,,21.377,0.25,,1.217,,,,,42.754,0.5,,2.433,
TUR,Turkey,Asia,Northern Africa and Western Asia,Europe,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,32.3606,39.7153,Asia,Northern Africa and Western Asia,Europe,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Other Entities,2019,769630.0,,,,,42.071,3.51,1.159,,411.638,2.59,12.306,5843.571,487.526,1332.501,111.17,4.847,9.328,2418.481,201.773,36.715,26.973,302.21,302.79,3.392,59.304,21664.522,,-1.667,-25.069,2043.999,170.53,17720.721,1478.433,56.32,81.796,-8.196,-38.712,433.613,686.687,57.29,5197.361,0.0,,,,18.921,23.99,761004425605.414,9121.51516673708,2241542488878.69,26867.470307977,124.64,47.644,70.975,219.945,1064.61,88.82,2636.29,29.334,12.169,34.672,84.25,327.241,1585.289,132.26,3922.356,43.68,18.105,-0.58,-0.192,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,1.336,557.292,24.811,2.07,6679.789,0.0,,,,0.684,30.833,30.581,12.46,8.95,22.063,5.528,149.347,107.276,366.554,4.115,2.956,1.692,3629.287,83429607.0,1807.463,34.672,84.25,327.241,1585.289,132.26,3922.356,43.68,18.105,18.153,3.519,22.905,110.872,9.25,274.537,3.055,1.267,8.529,4.229,53.81,260.459,21.73,644.974,7.177,2.977
TWN,Taiwan,Asia,,,East Asia & Pacific,,High income,Not classified,,,Asia,,,East Asia & Pacific,,High income,Not classified,Other Entities,2019,,,,,,84.126,2.0,0.742,,573.754,-1.986,-9.405,19523.9,464.158,5360.926,127.45,,,,,47.26,34.089,269.68,269.68,-1.793,-24.86,57272.555,,-3.281,-42.326,9467.533,225.08,52490.105,1247.893,83.462,91.65,-1.7,-4.023,232.598,3865.166,91.89,9783.779,,,,,34.074,17.083,,,,,154.73,23.268,2.592,13.73,233.449,5.55,577.53,2.058,1.008,18.261,17.495,113.3,1876.008,44.6,4765.754,16.538,8.321,0.0,0.0,16.335,11.239,80.04,1310.262,31.15,3366.715,11.551,5.878,-4.982,-28.898,551.136,241.441,5.74,23182.426,,,,,2.128,40.477,4.904,2.0,0.0,0.44,0.021,84.126,0.0,206.297,0.742,0.0,0.36,11343.542,23773880.0,1361.591,23.169,6.257,33.261,565.747,13.45,1399.039,4.987,2.443,47.474,3.2,9.94,168.673,4.01,418.122,1.487,0.73,10.453,0.443,4.686,79.499,1.89,197.089,0.701,0.344
USA,United States,North America,Europe and Northern America,Americas,North America,,High income,Not classified,-77.032,38.8895,United States,United States,United States,United States,United States,United States,United States,United States,2019,9147420.0,-0.053,-0.206,1180.35,388.412,174.768,57.51,1.384,1.473,392.981,-14.609,-538.999,9573.985,3150.46,2932.431,964.96,-7.21,-308.397,12061.615,3969.054,23.219,11.952,4195.02,4155.98,-0.776,-206.241,80105.754,,-1.201,-266.842,7865.348,2588.21,66726.343,21957.297,62.277,83.298,3.349,275.227,8492.377,4819.141,1585.81,25807.625,10.59,890.514,28261.523,9299.875,38.157,32.217,21433224697000.0,65279.5290260953,21433224696999.9,65279.529026095,1633.22,-1.761,-12.674,706.88,858.828,282.61,2148.149,6.8,2.682,1.396,60.6,4402.716,4764.319,1567.77,13379.475,37.723,16.702,39.04,0.931,-0.082,-1.725,2109.762,2459.728,809.41,6411.387,19.476,8.004,-0.03,-3.069,10314.443,113.777,37.44,31344.732,11.578,902.527,26430.704,8697.417,0.901,39.129,190.224,72.98,15.47,-6.54,-13.311,221.78,47.012,578.076,1.756,0.372,0.722,12629.667,328329953.0,26359.991,2.794,62.326,2292.953,2304.591,758.36,6968.088,18.247,8.699,14.068,32.975,267.367,324.83,106.89,812.504,2.572,1.014,8.114,55.542,740.07,899.154,295.88,2249.01,7.119,2.808
VNM,Vietnam,Asia,Eastern and South-Eastern Asia,Western Pacific,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IBRD,105.825,21.0069,Asia,Eastern and South-Eastern Asia,Western Pacific,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IBRD,Other Entities,2019,310070.0,,,,,0.0,0.0,0.0,,539.565,30.654,134.73,5953.059,574.244,1162.633,112.15,9.445,26.07,3131.864,302.106,52.387,49.618,215.33,214.08,11.774,121.905,11997.658,,18.835,155.234,1623.021,156.56,10153.492,979.427,73.132,84.629,1.998,1.93,98.526,445.771,43.0,1021.402,1.998,1.93,1021.401,98.526,20.086,8.513,261921244843.172,2715.27598010995,808472012424.407,8381.23931963427,115.51,-20.137,-42.283,167.696,538.864,51.98,1738.461,24.281,14.49,-15.779,-33.328,177.893,596.296,57.52,1844.175,26.868,15.371,1.25,0.581,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.447,18.574,306.656,14.617,1.41,3179.032,-7.799,-11.256,1379.534,133.073,0.659,26.497,0.001,0.0,0.0,-99.427,-0.189,0.0,0.0,0.011,0.0,0.0,0.0,2219.317,96462108.0,1157.319,-15.779,-33.328,177.893,596.296,57.52,1844.175,26.868,15.371,3514.319,9.913,10.195,49.968,4.82,105.69,2.251,0.881,-99.845,-0.77,0.001,7.464,0.72,0.012,0.336,0.0
