,Code,Entity,Continent,WHO region,World Region according to the World Bank,world-regions-according-to-the-united-nations
213,SHN,Saint Helena,Africa,,,
214,SJM,Svalbard and Jan Mayen,Europe,,,
215,SLB,Solomon Islands,Oceania,Western Pacific,East Asia and Pacific,Oceania
216,SLE,Sierra Leone,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
217,SLV,El Salvador,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
218,SMR,San Marino,Europe,Europe,Europe and Central Asia,Europe and Northern America
219,SOM,Somalia,Africa,Eastern Mediterranean,Sub-Saharan Africa,Sub-Saharan Africa
220,SPM,Saint Pierre and Miquelon,North America,,,
221,SRB,Serbia,Europe,Europe,Europe and Central Asia,Europe and Northern America
222,SSD,South Sudan,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
223,STP,Sao Tome and Principe,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
224,SUR,Suriname,South America,Americas,Latin America and Caribbean,Latin America and Caribbean
225,SVK,Slovakia,Europe,Europe,Europe and Central Asia,Europe and Northern America
226,SVN,Slovenia,Europe,Europe,Europe and Central Asia,Europe and Northern America
227,SWE,Sweden,Europe,Europe,Europe and Central Asia,Europe and Northern America
228,SWZ,Eswatini,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
229,SXM,Sint Maarten (Dutch part),North America,,Latin America and Caribbean,Latin America and Caribbean
230,SYC,Seychelles,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
231,SYR,Syria,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
232,SYR,Syrian Arab Republic,,,,
233,TCA,Turks and Caicos Islands,North America,,Latin America and Caribbean,Latin America and Caribbean
234,TCD,Chad,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
235,TGO,Togo,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
236,THA,Thailand,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia
237,TJK,Tajikistan,Asia,Europe,Europe and Central Asia,Central and Southern Asia
238,TKL,Tokelau,Oceania,,,Oceania
239,TKM,Turkmenistan,Asia,Europe,Europe and Central Asia,Central and Southern Asia
240,TLS,Timor,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia
241,TLS,Timor-Leste,,,,
242,TON,Tonga,Oceania,Western Pacific,East Asia and Pacific,Oceania
243,TTO,Trinidad and Tobago,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
244,TUN,Tunisia,Africa,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
245,TUR,Turkey,Asia,Europe,Europe and Central Asia,Northern Africa and Western Asia
246,TUV,Tuvalu,Oceania,Western Pacific,East Asia and Pacific,Oceania
247,TWN,Taiwan,Asia,,,
248,TZA,Tanzania,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
249,UGA,Uganda,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
250,UKR,Ukraine,Europe,Europe,Europe and Central Asia,Europe and Northern America
251,UMI,United States Minor Outlying Islands,Oceania,,,
252,URY,Uruguay,South America,Americas,Latin America and Caribbean,Latin America and Caribbean
253,USA,United States,North America,Americas,North America,Europe and Northern America
254,UZB,Uzbekistan,Asia,Europe,Europe and Central Asia,Central and Southern Asia
255,VAT,Vatican,Europe,,,
256,VCT,Saint Vincent and the Grenadines,North America,Americas,Latin America and Caribbean,Latin America and Caribbean
257,VEN,Venezuela,South America,Americas,Latin America and Caribbean,Latin America and Caribbean
258,VGB,British Virgin Islands,North America,,Latin America and Caribbean,Latin America and Caribbean
259,VIR,United States Virgin Islands,North America,,Latin America and Caribbean,Latin America and Caribbean
260,VNM,Viet Nam,,,,
261,VNM,Vietnam,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia
262,VUT,Vanuatu,Oceania,Western Pacific,East Asia and Pacific,Oceania
263,WLF,Wallis and Futuna Islands,,,,
264,WSM,Samoa,Oceania,Western Pacific,East Asia and Pacific,Oceania
265,YEM,Yemen,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia
266,ZAF,South Africa,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
267,ZMB,Zambia,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
268,ZWE,Zimbabwe,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa
269,,Africa,,,,
270,,Antarctica,,,,
271,,Asia,,,,
272,,Asia (excl. China & India),,,,
273,,Asia Pacific,,,,
274,,CIS,,,,
